track_id,artists,trackname,album,name_of_playlist
1s16yZ0cyNAJJT1iUVMwam,Niteflyte,If You Want It,Niteflyte,FUNKSOULJAZZBREAKPIANO
3Y4BYpeNqYeW71jNgtN5k3,Devon Russell,Give Me Your Love,Darker Than Blue,FUNKSOULJAZZBREAKPIANO
4Gt8xHGDS9ijfolaFFOJrm,Deniece Williams,How'd I Know That Love Would Slip Away,This Is Niecy (Expanded Edition),FUNKSOULJAZZBREAKPIANO
0DEwNI2DgasX1eprqCivJk,Ray Parker Jr.,A Woman Needs Love (Just Like You Do),A Woman Needs Love (Expanded Edition),FUNKSOULJAZZBREAKPIANO
3vQfZziawmjCOluun8E9gA,The Jacksons,This Place Hotel (a.k.a. Heartbreak Hotel),The Very Best Of The Jacksons and Jackson 5,FUNKSOULJAZZBREAKPIANO
7x3N0MXK6cAuKEXHNqCUgp,Lee Fields & The Expressions,Do You Love Me (Like You Say You Do),My World,FUNKSOULJAZZBREAKPIANO
0cHpAkyEPpVMG0ezgicYMf,Lee Fields & The Expressions,Love Comes And Goes,My World,FUNKSOULJAZZBREAKPIANO
1emxi7e5EWFsJmwSKTuUDH,Lee Fields & The Expressions,Honey Dove,My World,FUNKSOULJAZZBREAKPIANO
599GElAfHgqdjSmATCr6lI,Lee Fields & The Expressions,Money I$ King,My World,FUNKSOULJAZZBREAKPIANO
3FKAmkd0dUQow94t7y06mq,Lee Fields & The Expressions,Expressions Theme,My World,FUNKSOULJAZZBREAKPIANO
5j9jScO7liRScaGXj5PhV5,Lee Fields & The Expressions,My World,My World,FUNKSOULJAZZBREAKPIANO
6iNHWlOLt4NuDi9iSvtznO,Lee Fields & The Expressions,Ladies,My World,FUNKSOULJAZZBREAKPIANO
2LqdWZQpKh4bxFHxEBi57q,Lee Fields & The Expressions,These Moments,My World,FUNKSOULJAZZBREAKPIANO
196pDURyPeC8QEiu5x1KYT,Lee Fields & The Expressions,The Only One Loving You,My World,FUNKSOULJAZZBREAKPIANO
5DrDxikPonrTWu6MqfF3Z6,Lee Fields & The Expressions,Last Ride,My World,FUNKSOULJAZZBREAKPIANO
0nbOXVxcq4wSPamBPxAKGu,Nina Simone,Feeling Good,The Very Best Of,FUNKSOULJAZZBREAKPIANO
69e17d31VYOmiRYJ9Fq2ZE,Nina Simone,I Put a Spell On You,The Very Best Of,FUNKSOULJAZZBREAKPIANO
6xEg0lNce24BEPjCjqy5JB,Jocelyn Brown,Somebody Else's Guy,Somebody Else's Guy,FUNKSOULJAZZBREAKPIANO
3SHKFKCccGc2gZkI7G1hMZ,Gwen McCrae,Funky Sensation,Funky Sensation (MAW Mix),FUNKSOULJAZZBREAKPIANO
6uUjQKZ7v1X6HQk6A9GtgE,Uncle Louie,I Like Funky Music,Uncle Louie's Here,FUNKSOULJAZZBREAKPIANO
5VjqjDwBKAUWLdkyBzqzhu,Sunlightsquare Latin Combo,I Believe In Miracles,Havana Central,FUNKSOULJAZZBREAKPIANO
2ZfzxkljZ44ifATwboIU8Y,Trüby Trio,Universal Love,Elevator Music,FUNKSOULJAZZBREAKPIANO
0nlZjTPzW6S9JIESuGfImT,Boz Scaggs,Lowdown,Silk Degrees,FUNKSOULJAZZBREAKPIANO
7yxTWOioiqEW5ndGLmKk9n,Joe Thomas,Polarizer,Feelin's From Within,FUNKSOULJAZZBREAKPIANO
4gHi9aErjNEqq8KoaZJUzO,CADEJO,A Place in Sun,FREEBODY,FUNKSOULJAZZBREAKPIANO
6YnqSlVQ9smhqAg8dEheAY,"Evelyn ""Champagne"" King",If You Want My Lovin',I'm In Love (Expanded Edition),FUNKSOULJAZZBREAKPIANO
2quj0lAmQxytVLVR1LYQYV,TOWA TEI,TECHNOVA,FUTURE LISTENING!,FUNKSOULJAZZBREAKPIANO
