track_id,artists,trackname,album,name_of_playlist
3fJB02XQB5eNHK2JRCyf0q,Dave Brubeck Trio,Blue Moon,The Very Best Of Dave Brubeck,FUNKSOULJAZZ
3OA7bUmIQEKjaV3Lja65En,Dave Brubeck Trio,Let's Fall In Love,The Very Best Of Dave Brubeck,FUNKSOULJAZZ
2d38mbeSjW3Rrtcu7KQxOk,Dave Brubeck,My Heart Stood Still,The Very Best Of Dave Brubeck,FUNKSOULJAZZ
6ZvQcoSolVQ3XJOgE57AyE,Dave Brubeck,Frenesi,The Very Best Of Dave Brubeck,FUNKSOULJAZZ
10hZeBpab5S5SacDsHxa99,Dave Brubeck,A Foggy Day,The Very Best Of Dave Brubeck,FUNKSOULJAZZ
0bHs3ly4Bv5BlzE3KrePfX,Jill Scott,Golden,Beautifully Human: Words and Sounds Vol. 2,FUNKSOULJAZZ
5LOIteqUpPswpOEVQcB6NC,Thee Sacred Souls,Weak for Your Love,Can I Call You Rose?,FUNKSOULJAZZ
0gzDu0smnvgwslqwOiQ8f1,Thee Sacred Souls,Will I See You Again?,Will I See You Again?,FUNKSOULJAZZ
6tXuf3jm5wxrMPtvXREYoE,Thee Sacred Souls,Can I Call You Rose?,Can I Call You Rose?,FUNKSOULJAZZ
2ZA4tDZvsxFO6Yw5OENin7,Thee Sacred Souls,It's Our Love,Will I See You Again?,FUNKSOULJAZZ
7q115ia4fQn9zonjpexWsY,Linkin Park,In the End,Hybrid Theory,lp
4HvcbAR8LisalXKt7cpqE1,Linkin Park,Papercut,Hybrid Theory,lp
4bYLTrlcqctyHck3fjhMgW,Linkin Park,One Step Closer,Hybrid Theory,lp
1Q9QN6dHEDeUegsySY012f,Linkin Park,With You,Hybrid Theory,lp
214LJVTqrkUOGemWDGHJpr,Linkin Park,Points of Authority,Hybrid Theory,lp
0X576XiCW9uEtko6f6VkcU,Linkin Park,Crawling,Hybrid Theory,lp
1B8WdDScvobpFsZLfdmIE1,Linkin Park,A Place for My Head,Hybrid Theory,lp
27gUeiai56GKF6TxvmPJut,Linkin Park,Don't Stay,Meteora (Bonus Edition),lp
1d5UuboIPRMD4HaU3yycKC,Linkin Park,Somewhere I Belong,Meteora (Bonus Edition),lp
3BmjRmFTESgWZLPSVGp8aG,Linkin Park,Lying from You,Meteora (Bonus Edition),lp
2uxL6E8Yq0Psc1V9uBtC4F,Linkin Park,Faint,Meteora (Bonus Edition),lp
4HcDu9IGRCvSTJE4yW5Ugv,Linkin Park,Breaking the Habit,Meteora (Bonus Edition),lp
0kO3njY9N1Rxgv27Ha1lLh,Linkin Park,Numb,Meteora (Bonus Edition),lp
58AS4weYlUWvGztZbKIuAU,Linkin Park,Leave Out All The Rest,Minutes to Midnight,lp
78gsvivelCP8Kh0tSRTy8D,Linkin Park,Bleed It Out,Minutes to Midnight,lp
