trackname,artists,name_of_playlist
Banks - Warm Water (Snakehips Remix),,1_a
Make It,,1_a
On & On (Kaytranada Remix),,1_a
On & On (Snakehips Edit),,1_a
Bondax - Gold (Snakehips Bootleg),,1_a
Alina Baraz - Paradise (Prod. By esta),,1_a
Esta. - Lexo,,1_a
Sango & Waldo - Crossroads (Feat. SPZRKT),,1_a
Tinashe - Vulnerable (Sango Remix),,1_a
Sango - 206,,1_a
001 - ESTA x Michael Salisbury,,1_a
Sango & Waldo - YU,,1_a
Sango & Waldo - Happiest Hour/ Saddest Hour,,1_a
Sango & Waldo - SNS,,1_a
Sango & Waldo - Rushed Perfection,,1_a
S-Curve (prod. The SEVENth & Sango),,1_a
Sango - Deixe-me,,1_a
Icebox 2.0 (Omarion X Craig David),,1_a
Vai Vai,,1_a
Sango - Vem Vem (FREE DL),,1_a
Erykah Badu - Love Of My Life (Kaytranada Remix),,1_a
k-os - Crucial (Kaytranada Remix),,1_a
Kaytradamus & Sango - Voices From Heaven,,1_a
Missy Elliott - Sock It 2 Me (Kaytranada Remix),,1_a
Portico Quartet - Steepless (Kaytranada Remix),,1_a
Summer Sadness,,1_a
Nevalie,,1_a
Nelly Furtado - Say It Right (Kaytradamus Remix),,1_a
Danny Brown - Lie4 (Kaytranada Remix),,1_a
KAYTRANADA - Holy Hole Inna Donut,,1_a
KAYTRANADA - Jupiter,,1_a
Banks - Waiting Game (Kaytranada Edition),,1_a
Jill Scott - Its Love (KAYTRANADA Edition),,1_a
Janet Jackson - If (Kaytranada Remix),,1_a
The Weeknd - Or Nah (Stwo Edit),,1_a
Quiet Life,,1_a
Stwo - Syrup,,1_a
Cashmere Cat - With Me (Stwo Edit),,1_a
BASECAMP - Emmanuel (Stwo Remix),,1_a
JMSN - The One (Stwo Remix),,1_a
Virgo feat. Shay Lia,,1_a
Know,,1_a
Cryin,,1_a
Lust,,1_a
Stwo - Lovin U,,1_a
Stwo - Work,,1_a
Stwo - Anna,,1_a
Stwo - Wifey (Instrumental),,1_a
Stwo - One (Andrea Remix),,1_a
Tory Lanez - R.I.D.E. (Falcons Remix),,1_a
PARTYNEXTDOOR - Persian Rugs (Falcons remix),,1_a
Brenmar - Medusa Feat. Rush Davis (Falcons Remix),,1_a
Falcons - 2me,,1_a
Falcons - Cell,,1_a
Soulection Radio Show #179,,1_a
Jeremih - Fuck U All The Time (Shlohmo Remix),,1_a
Brain,,1_a
"Ab-Soul ""To The Max"" ( Prod. By Statik Selektah)",,1_a
Zikomo x Esta - ZikomoEstas,,1_a
Two In A Millie,,1_a
Your Flaws,,1_a
Rvdical The Kid - Tokyo,,1_a
Time Machine - The Way Things Are,,1_a
Brown Lotus - Get Lost Now,,1_a
El Blanco Nino x DISFNK - Savages,,1_a
LeDouix - Me & You,,1_a
Stwo - Morphans,,1_a
early[wakeup] {rough},,1_a
brew,,1_a
Suicidal Thoughts,,1_a
oneweek[HAWT],,1_a
tkdwn. x [ bsd.u ] - within,,1_a
caught in the rain,,1_a
.,,1_a
.,,1_a
HEAVEN SENT FT. ZACARI,,1_a
ELHAE - SAM ( J-LOUIS REMIX ),,1_a
High Land ( J-LOUIS ),,1_a
Soulection Radio Show #200 (Celebration of Life),,1_a
J-Louis - Can't You See,,1_a
Yoko,,1_a
I'm Good,,1_a
Polaroids,,1_a
Cruisin,,1_a
1993 (Feat. Richie Saps),,1_a
Feel It,,1_a
The Trip (Feat. Fabienne),,1_a
All You,,1_a
4U / Lately,,1_a
Sam Gellaitry - Temple (Short Stories - Out Now),,1_a
reflectionz,,1_a
to earth and back,,1_a
monochrome,,1_a
the end,,1_a
Soulection Radio Show #190 w/ Esta,,1_a
Can't Wait(ft. Xavier Omär),,1_a
Esta - Luna,,1_a
Soulection Radio Show #207 (The People's Choice) + A Nujabes Tribute w/ Daddy Kev,,1_a
LETS ESCAPE -ABRAHAM BLUE (   J-LOUIS Remix   ),,1_a
SNS (Instrumental),,1_a
childhood,,1_a
1hunna (prod. by Zikomo),,1_a
Bahwee x Esta. x Mike Gao - Lounge Burger,,1_a
ESTA. X Mike Gao - Katsu Curry,,1_a
California,,1_a
So Cool (Iman Europe X starRo),,1_a
starRo - Bout You,,1_a
A NIGHT OFF ( J-LOUIS X DREWSTHATDUDE ),,1_a
CAMARILLO,,1_a
I CANT EXPLAIN IT,,1_a
Area Codes (J-Louis X Iamnobodi),,1_a
SLANDER & NGHTMRE - YOU ( J-LOUIS REMIX ),,1_a
Get Away,,1_a
Sorry Not Sorry,,1_a
starRo - Say It,,1_a
starRo - Can't Get You Out Of My Mind (ft. Alcordo),,1_a
starRo - In Love,,1_a
starRo - Feeling For You,,1_a
See Me At The Penthouse (Fund raising to free Mike.P),,1_a
Iman Europe & starRo - Diggin' On You [TLC Rework]  FREE DL,,1_a
Waiting,,1_a
Seduction (FREE DL),,1_a
Lust,,1_a
Catch Me (ft. JusMoni) -  starRo X Mr. Carmack X Teeko X Mikos Da Gawd,,1_a
Around Midnight - starRo,,1_a
GoldLink - Sober Thoughts (Chris McClenney Remix),,1_a
SPZRKT & Sango - The Motive/ Used To The Melody,,1_a
SPZRKT & Sango - Hipster Girl,,1_a
SPZRKT & Sango - Soon Enough,,1_a
SPZRKT & Sango - Winter Toes,,1_a
SPZRKT & Sango -  How Do You Love Me,,1_a
SPZRKT & Sango - JMK,,1_a
Imprint: 100% Soulection mix by Andre Power,,1_a
Oceans ft. Elhae,,1_a
Bryson Tiller-BeenThatWay ( J-Louis Remix ),,1_a
Looking Forward,,1_a
Papers,,1_a
Forever (Pt. II) Feat. Kaleem Taylor,,1_a
Snakehips x Tory Lanez - Dímelo #songsfromscratch,,1_a
Gone (feat. Syd),,1_a
Gold,,1_a
Fetty Wap - Trap Queen [Autolaser & Z.WOODS Remix],,1_a
Love Saved,,1_a
Drake - Legend | Z.Woods Unplugged,,1_a
PYRMDPLAZA X ABRAHAM BLUE - WHATEVER YOU WANT,,1_a
22 ( J-Louis ),,1_a
Soulection Radio Show #212 w/ PYRMDPLAZA,,1_a
J-LOUIS x PYRMDPLAZA,,1_a
Tiara Thomas - How It Is (XXYYXX Bootleg),,1_a
Dance On Me,,1_a
Acting Like (Prod. by Shlohmo) - Tory Lanez,,1_a
you could bet that,,1_a
STAY ( J-LOUIS ),,1_a
Kehlani - Til The Morning (Snakehips Remix),,1_a
U Got (XXYYXX Remix),,1_a
Xavier Omär - Blind Man (Prod. by J-Louis),,1_a
Soulchild ( J-Louis ),,1_a
Chris McClenney - Tuning Up,,1_a
Chris McClenney - More Love,,1_a
Chris McClenney - All I Want Is You,,1_a
Chris McClenney - Us,,1_a
Light Ray,,1_a
Consciousness,,1_a
Lullaby,,1_a
Heaven In Hell,,1_a
Evil Needle - Past & Present,,1_a
Captivate,,1_a
Kehlani - Niggas (Mike Gao Remix),,1_a
You Should Be Here,,1_a
How That Taste,,1_a
Jealous (feat. Lexii Alijai),,1_a
Wanted,,1_a
The Way (feat. Chance the Rapper),,1_a
Unconditional,,1_a
The Letter,,1_a
Runnin' (Interlude),,1_a
Be Alright,,1_a
Down for You (feat. BJ The Chicago Kid),,1_a
Yet,,1_a
Bright,,1_a
Alive (feat. Coucheron),,1_a
I Should Be Dreaming (ft. Josh J.),,1_a
Down For You (feat. Alina Baraz),,1_a
Realla feat Anderson .Paak,,1_a
Open Air Ft Joyce Wrice,,1_a
Sakamoto's Spring,,1_a
Your highness Ft. Monte Booker,,1_a
B.Y.O.B. ft. my mother,,1_a
Sevdaliza - Clear Air (Jarreau Vandal Remix),,1_a
Soulection Radio Show #215 (Beats 1 Launch),,1_a
Drowning,,1_a
Cradle,,1_a
Long Way Home (Prod. by Gravez & Fortune),,1_a
Distance ft. Skizzy Mars,,1_a
Good Right Now (Music Video Link Below),,1_a
Eclipse,,1_a
Get You Good,,1_a
Drama (Ft. Drake),,1_a
Jaden Smith - Soulection Freestyle (Beat by Mr. Carmack),,1_a
separated,,1_a
Kaytranada & Sango - Voices from Heaven,,1_a
Owe Me Back,,1_a
Kaytranada & Sango - Down4U,,1_a
BB Don't Cry (It's Gon' Be Ok),,1_a
Sango - Smiles & Frowns,,1_a
Me dê Amor,,1_a
"Sango x GoldLink - ""Wassup""",,1_a
Louie Lastic - Reactions,,2_a
Louie Lastic - I Need Girls,,2_a
Louie Lastic - Say Yes,,2_a
you could bet that,,2_a
STAY ( J-LOUIS ),,2_a
Kehlani - Til The Morning (Snakehips Remix),,2_a
U Got (XXYYXX Remix),,2_a
Xavier Omär - Blind Man (Prod. by J-Louis),,2_a
Soulchild ( J-Louis ),,2_a
Chris McClenney - Tuning Up,,2_a
Chris McClenney - More Love,,2_a
Chris McClenney - All I Want Is You,,2_a
Chris McClenney - Us,,2_a
Light Ray,,2_a
Consciousness,,2_a
Heaven In Hell,,2_a
Lullaby,,2_a
Evil Needle - Past & Present,,2_a
Captivate,,2_a
Kehlani - Niggas (Mike Gao Remix),,2_a
You Should Be Here,,2_a
How That Taste,,2_a
Jealous (feat. Lexii Alijai),,2_a
Wanted,,2_a
The Way (feat. Chance the Rapper),,2_a
Unconditional,,2_a
The Letter,,2_a
Runnin' (Interlude),,2_a
Be Alright,,2_a
Down for You (feat. BJ The Chicago Kid),,2_a
Yet,,2_a
Bright,,2_a
Alive (feat. Coucheron),,2_a
I Should Be Dreaming (ft. Josh J.),,2_a
Down For You (feat. Alina Baraz),,2_a
Realla feat Anderson .Paak,,2_a
Open Air Ft Joyce Wrice,,2_a
Sakamoto's Spring,,2_a
Your highness Ft. Monte Booker,,2_a
B.Y.O.B. ft. my mother,,2_a
Sevdaliza - Clear Air (Jarreau Vandal Remix),,2_a
Drowning,,2_a
Cradle,,2_a
Long Way Home (Prod. by Gravez & Fortune),,2_a
Distance ft. Skizzy Mars,,2_a
Good Right Now (Music Video Link Below),,2_a
Eclipse,,2_a
Get You Good,,2_a
Jaden Smith - Soulection Freestyle (Beat by Mr. Carmack),,2_a
EOM - Get Along (feat. Anderson .Paak & Blu),,2_a
Nxworries - Anderson Paak & Knxwledge - Suede,,2_a
Phonte - Sendin My Love [Explicit] (Prod Stro Elliot),,2_a
