trackname,artists,name_of_playlist
Kamaal Coltrane,,2_a
"Sango - Middle Of Things, Beautiful Wife (Feat. SPZRKT)",,2_a
PEARSON x SAM GELLAITRY - ESS,,2_a
RETALIATE (sam gellaitry x connor pearson),,2_a
Esta. - WhateverUNeed (ft. JBird),,2_a
Falcons - Aquafina feat. GoldLink & Chaz French,,2_a
Falcons - Terra,,2_a
PARTYNEXTDOOR ~ Things & Such,,2_a
Be Alright,,2_a
Queen,,2_a
Talkin Shit (prod @Ohbliv),,2_a
Soulection Radio Show #183 w/ Sam Gellaitry,,2_a
LAKIM w | McClenney - Live From The Dorm (UMD),,2_a
Charli XCX - Doing It ft. Rita Ora (Keys N Krates Remix),,2_a
I Know U,,2_a
Save Me (feat. Katy B),,2_a
Understand Why,,2_a
Hypnotik,,2_a
Keys N Krates - Are We Faded,,2_a
Yes We Faded,,2_a
She's So High,,2_a
I JUST CANT DENY,,2_a
DUM DEE DUM,,2_a
RATCHET HOE$,,2_a
TREAT ME RIGHT,,2_a
Hotline Bling,,2_a
Dimelo,,2_a
Butterfly - ft. Steffanie Christi'an prod. Kaytranada,,2_a
What So Not - Gemini Ft. George Maple (Ekali Remix),,2_a
Denzel Curry - Threatz (Ekali & Gravez Remix),,2_a
Ta-ku - Long Time No See ft. Atu (Ekali Remix),,2_a
Unfaith,,2_a
Ekali & aywy. - Another Girl,,2_a
aywy & Ekali - Your Love,,2_a
Ekali & aywy. - Contempt,,2_a
Neeed That,,2_a
Missus Peel ft. Pomo,,2_a
Illa J - Never Left,,2_a
Tinashe - Days In The West (Ekali Remix),,2_a
Eli Muro - Orphan's Son (Ekali Remix),,2_a
Tre Capital & Sean Leon - Prestige (Ekali Remix),,2_a
Dpat - Bloom (Ekali Edit),,2_a
Alina Baraz & Galimatias - Can I (Ekali Remix),,2_a
blessings,,2_a
Always,,2_a
Onra - L.O.V.E,,2_a
We Ridin' (feat. Daz Dillinger & Olivier Daysoul),,2_a
Over & Over (feat. Do Or Die & Johnny P),,2_a
Hoodboi - Dusk (Prologue),,2_a
Hoodboi - Palm Reader feat. Lido,,2_a
Hoodboi - Shallow,,2_a
With Me,,2_a
Aeshma (Jason Rich x MadBliss),,2_a
No Roof,,2_a
long distance,,2_a
Spectrum (Prod. Louie Lastic),,2_a
ili,,2_a
O.G,,2_a
Do You?,,2_a
TroyBoi & Stooki Sound - W2L (Welcome To London),,2_a
TroyBoi - Afterhours (feat. Diplo & Nina Sky),,2_a
"down for this (ft. krs., Kingbnjmn, dutchboy & tunji ige)",,2_a
All My Friends (feat. Tinashe & Chance the Rapper),,2_a
PYRMDPLAZA & Gravez - UsVsU,,2_a
IAMNOBODI - When You Know It,,2_a
Monte Booker - Flight,,2_a
Monte Booker - Kolors Ft. Smino,,2_a
Monte Booker - Homealone,,2_a
Monte Booker - Baby Ft. Ravyn Lenae,,2_a
Sivey - Slow Wave,,2_a
Sivey - Church Eye,,2_a
Sivey - Mindlock,,2_a
Sivey - Ascension,,2_a
"Knew You w/ Atu, Dpat & Asante",,2_a
Atu × Dpat × Sango – 3,,2_a
Dpat & Atu - Nothing Here,,2_a
'missing you' (ft. Dpat),,2_a
'doubts',,2_a
Dpat - Bloom | Out Now,,2_a
Dpat - Above Us (ft. Sango & Isles) | 'In Bloom',,2_a
Tribal Waves,,2_a
Limit Break,,2_a
MEGA,,2_a
Overdose feat. midnight,,2_a
First To Know (feat. River Tiber),,2_a
separated,,2_a
Juelz - Winter,,2_a
Juelz - Cake,,2_a
Sabotage,,2_a
Cocaine,,2_a
WYN,,3_a
Só Você (Ft. Elhae & ESTA.),,3_a
GoldLink - Zipporah (Gravez Remix),,3_a
glacier,,3_a
Playboy,,3_a
Sanguine,,3_a
I'm Not Sorry ft. Eric Bellinger (Available on itunes),,3_a
Minutes,,3_a
Losco - When,,3_a
Losco - Scriptina,,3_a
swimming pools,,3_a
Innocence,,3_a
Go Go Go,,3_a
Unleashed,,3_a
Jealousy,,3_a
Do You Still Want Me,,3_a
PARTYNEXTDOOR - Come and See Me (feat. Drake),,3_a
"J. Eliaye ~ They Say [Prod. J. Eliaye, Mike Green & Murphy Kid]",,3_a
"03 An Idea (featuring Emmavie, Zacari & Josh J)",,3_a
02 Luther's Joint,,3_a
01 Understand (Intro),,3_a
04 Imani (Prelude) (featuring R.O.M.),,3_a
Aphrodite,,3_a
DrewsThatDude -  Iced Tea Ft. FORTUNE,,3_a
Relapse ft. PYRMDPLAZA,,3_a
Bounce Yuh,,3_a
It's Strange (Ft. K.Flay),,3_a
Zella Day - Compass (Louis The Child Remix),,3_a
Oh Wonder - Body Gold (Louis The Child Remix),,3_a
Pure ft. Zeina [Majestic Color],,3_a
Flume - Smoke & Retribution (Ekali Remix),,3_a
rightnow,,3_a
searching,,3_a
wealltry (jukedout),,3_a
Snakes & Ladders,,3_a
Pursuit,,3_a
Falcons & Juelz - Gyal Dem Move,,3_a
iBelieve [prod. by Rascal],,3_a
Aura (Intro),,3_a
Drive Me Crazy,,3_a
Sam,,3_a
Wonder Woman (Interlude),,3_a
Situations (Video on Youtube now),,3_a
Halfway Love (Prod. by Rascal),,3_a
Time For You Feat. Jay Prince,,3_a
The World (Outro),,3_a
Eva,,3_a
In My Skin,,3_a
No Idea,,3_a
Stay Afloat (Interlude),,3_a
Switches,,3_a
Questions,,3_a
Might Be It,,3_a
HER,,3_a
Flux Pavilion - I Can't Stop (Ekali Tribute),,3_a
i'll be alright (tonight),,3_a
Love For That,,3_a
deadroses,,3_a
waste away ft. Devon Baldwin,,3_a
bus it,,3_a
girls like u (rad cat remix),,3_a
shake ya ass ft p-lo (sevnth remix),,3_a
PYRMDPLAZA - Glassss,,3_a
PYRMDPLAZA - Navi's Dance,,3_a
PYRMDPLAZA - Ventilate,,3_a
PYRMDPLAZA - Just Say,,3_a
Dragon,,3_a
Skyloft,,3_a
GoldLink - Late Night ft. Masego (Falcons Remix),,3_a
Current Mood,,3_a
Ｉｍａｔｉｏｎ,,3_a
"Rich Without Money (Prod. Fortune, Gravez & Sango)",,3_a
Souletiquette Radio Session 080 ft. HXNS,,3_a
The Gateway,,3_a
Blindside,,3_a
TEK.LUN - EL FLAMIN,,3_a
Longing (feat. KRANE),,3_a
Hoodboi - Palm Reader feat. Lido (Jesse Slayter Remix),,3_a
Undone,,3_a
Bishop Nehru - Love What You Do,,3_a
FDW (feat. CJ Fly) - Prod. Hannibal King,,3_a
Angel Ft. Sha Summers,,3_a
Ta-ku & Wafia - Meet In The Middle (Ekali Remix),,3_a
Like Home,,3_a
MeMyself&I,,3_a
lights,,3_a
Sheath,,3_a
Roy Wood$ - Jealousy (Fwdslxsh Remix),,3_a
do we,,3_a
Enough,,3_a
trust me,,3_a
Fall,,3_a
Yellow,,3_a
Oceans (ft starRo),,3_a
I Need,,3_a
4U,,3_a
High Tide (reprise),,3_a
B. Lewis x KRNE - JumpKick,,4_a
Fall Apart,,4_a
KRANE x Havok Roth - Bonezzz [SESSIONS_3.1],,4_a
Posted,,4_a
Feel Like You,,4_a
Falcons & Juelz - Gyal Dem Move,,4_a
misted [bump],,4_a
paris jones - u like me (tails remix),,4_a
Tails x Alexander Lewis - Time,,4_a
hold up,,4_a
HW&W Mix #17: Potatohead People - Originals,,4_a
You Da One,,4_a
Mr. Carmack - Pay For What (Alexander Lewis Trombone Flip),,4_a
Hudson Mohawke - Chimes (Alexander Lewis X Y2K Flip),,4_a
In The Mornin',,4_a
Forward,,4_a
rock yo body,,4_a
bando feat. j.robb,,4_a
skater x j.robb - Euphoria,,4_a
chicago ft. j.robb,,4_a
J.Robb - Down,,4_a
j.robb x west1ne - One Thing,,4_a
Athens,,4_a
https://3333.bandcamp.com/album/honor,,4_a
ROM - Free As A Bird,,4_a
ROM - You Love Em (feat. Emmavie),,4_a
ROM - ONE MORE (feat. DEFFIE),,4_a
Overdue (Prod. Russ),,4_a
Look (Prod. Russ),,4_a
Gone (Prod. Russ),,4_a
Losin Control (Prod. Russ),,4_a
Close2u,,4_a
KOHH - Paris (Sam Tiba Remix),,4_a
1ne 2 step,,4_a
Lovely (Prod. by Sonder),,4_a
Insecure (Prod. by Pablo Dylan & James Harte),,4_a
Invite Me (Prod. by Pablo Dylan),,4_a
Poison (Prod. by Ben Free),,4_a
No One Knows (Prod. by Paperboy Fabe & Sonder),,4_a
Hoody - My Ride (Slom & West1ne Remix),,4_a
Shaunic & Jonah Yano - louis vuitton,,4_a
A$AP Ferg - Work (MisterMack & Fortune Remix),,4_a
precious,,4_a
Rvdical the Kid & Chris McClenney - Ethereal,,4_a
Disclosure - Latch (MisterMack Version),,4_a
Rome Fortune - Get The Guap (Chris McClenney & Fortune. Remix),,4_a
into u,,4_a
whoshe,,4_a
WNTR - Exclusive Mix - Beat Lab Radio 119,,4_a
depression,,4_a
smile,,4_a
Vallès - Sorrow (Freddie Joachim Remix) [NEST HQ Premiere],,4_a
likeiloveyou ft. j.robb & ny odus,,4_a
Dirty Jersey Feat. 732Cash (Prod. By Bravestarr),,4_a
Crazy Dream (feat. Loyle Carner),,4_a
Rules,,4_a
PRBLMS,,4_a
Stay up (rework),,4_a
EKALI Live at the #SmirnoffHouse Hard Summer 2016,,4_a
KRNE x Stooki Sound - Medicine [Thissongissick.com Premiere] [Free Download],,4_a
Endz,,4_a
owe the world,,4_a
NEXT UP (feat. EZRA & OSHI),,4_a
SEEING SOUNDS,,4_a
Self Help[mix],,4_a
Cousin Stizz Dirty Band$ (Mike Gao Edition),,4_a
Nekolye x west1ne - Ayy,,4_a
Lament (w/ Nekolye),,4_a
TheThingsYouDo,,4_a
Is It Me,,4_a
Winter IV,,4_a
All The Time (prod. by j.robb),,4_a
Blush,,4_a
GoldLink - Fall In Love (Pomo Remake),,4_a
Crew (feat. Brent Faiyaz & Shy Glizzy),,4_a
Give It Up - j.robb + The Kount,,4_a
1959,,4_a
Childish Gambino - Terrified (Zikomo Remix),,4_a
all 4 u,,4_a
H.E.R. - Focus (Dpat Remix),,4_a
FLIPPIN ON YOU,,4_a
saywhat,,4_a
Ekali & KRANE - Akira,,4_a
Stranger Things--- Jean Deaux (Prd. Phoelix),,4_a
GEOTHEORY - Desiree (Aye),,4_a
Lost w/ oshi,,4_a
Tempted 🌺,,4_a
"raindrop, droptop",,4_a
i kno what u want,,4_a
closer (feat. chase thomas),,4_a
Kučka - Honey (medasin redo),,4_a
01. Tell Me,,4_a
Get You (feat. Kali Uchis),,4_a
Dance for Blessings,,4_a
Your Way,,4_a
Blind (Prod. Skater),,4_a
Put It Down (feat Anderson .Paak & KRANE),,4_a
I'm Waiting,,4_a
needed me,,4_a
atone,,4_a
Soulection Radio Show #295 ft. J. Robb,,4_a
Jacquees x DeJ Loaf - No Better Love (Prod. by Nash B x DrewsThatDude),,4_a
easy,,4_a
hz,,4_a
wishes,,4_a
March,,4_a
Extra Sauuce Guest Mix 004: William Crooks,,4_a
KRANE x WYOMI - Palace [SESSIONS_4.4],,4_a
Oshi ~ Ice Tea,,4_a
I Care w/ Olukara (prod. by j.robb and austin marc),,4_a
Unwind (prod. by j.robb),,4_a
apart,,4_a
"ANH & Quickly, Quickly - Contrast",,4_a
Waiting For You (feat. Russ) [Prod. by Kyle Betty & Ian McKee],,4_a
imagine/gvnglove,,4_a
Lido - Murder (Alexander Lewis & Y2K Remix),,4_a
Back It Up,,4_a
Truth Be Told,,4_a
trabajo 6x,,4_a
Jack Dine - My Way (feat. Will Fraker),,4_a
POSTPRO,,4_a
Meditation (feat. Jazmine Sullivan & KAYTRANADA),,4_a
"StayInTonight (ft. Elhae, IAMNOBODI)",,4_a
Pham & sober rob - Alibi (feat. Madi),,4_a
"EP04 - ""Pass The Aux - LA""",,4_a
On Planets - Too Bad / So Sad,,4_a
JNTHN STEIN - Silvertown (Mr Carmack Remix) [feat BXRBER],,4_a
On The Low,,4_a
Bem-estar (feat. Monte Booker),,4_a
Someone That You Love ft. Olivia Nelson,,4_a
Khary & Lege Kale - Too Fast,,4_a
NDK,,4_a
Dont Stop,,4_a
Beats of Mind Interview: ROM,,4_a
A-Team (remix),,4_a
Soulection Radio Show #300,,4_a
Swirl,,4_a
F F L,,4_a
Blue Dream ft. Tee Krispil,,4_a
Girl Feat. Clairo,,4_a
Allah & B Sturg- Ni's Interlude (prod. Fortune and Tek.Lun),,4_a
whats ya name?,,4_a
Adventura,,4_a
Kline - No Eyes (Slope Remix)*Free Download,,4_a
ANH ~ Pressure,,4_a
sorry,,4_a
blessings,,4_a
needy,,4_a
steps w/ dorian concept,,4_a
Shooters,,4_a
chain,,4_a
Xavier Omär - No Way Out feat. GoldLink (prod. by Hit-Boy),,4_a
Choke Me (feat. josh pan),,4_a
prblms flip,,4_a
Bedtime Story [Prod. Louie Lastic],,4_a
Divine (ft. Kali Uchis) [Prod. Louie Lastic],,4_a
Hip-Hop (Interlude) [Prod. Teklun],,4_a
drive,,4_a
the last winter at home,,4_a
playboi carti - don't tell nobody (callahan remix),,4_a
my favorite neighbor,,4_a
distressed w/ ||DIlIP||,,4_a
tee,,4_a
What Time Is It? (feat. Innanet James)[Prod. By KAYTRANADA],,4_a
body party,,4_a
Kneelin' On Needles,,4_a
gravity w/ Verzache,,4_a
love is love,,4_a
Fall Together ft. Harrison Brome,,4_a
Isabella,,4_a
childish w/ otxhello,,4_a
poppin,,4_a
CLOUDED,,4_a
"ANH & Quickly, Quickly - Charade (Ft. Mo Vibez & Olu Bliss)",,4_a
catalina dea,,4_a
Zylo - With You,,4_a
Visions (feat. montell2099) [2016],,4_a
LUVTHRUHER.,,4_a
Parting,,4_a
THE WORLD FT. WEST1NE,,4_a
feel it still (medasin remix),,4_a
DrewsThatDude x oje. - She Was Raised Out in Brooklyn,,4_a
possible,,4_a
space,,4_a
Joyce Wrice - Good Morning (Slom Remix),,4_a
Untangling,,4_a
dots,,4_a
joyce wrice - good morning (j.robb remix),,4_a
Vol. 143 (The Slow Jam Cypher),,4_a
Milkshake,,4_a
Blessed,,4_a
We Find Love,,4_a
Hucci & Gravez - Bless,,4_a
show me what u got (w/ jamvvis),,4_a
dilip & callahan - levitate,,4_a
dilip & callahan - iris,,4_a
dilip & callahan - elegance,,4_a
Dreaming,,4_a
"Love Be Like, Oh (Mac Edit)",,4_a
Let Me Know,,4_a
HudMo - Forever 1 (Cashmere Cat Edit),,4_a
NOTICE ME | IAMKRT,,4_a
matame,,4_a
My Memory Isn't So Good,,4_a
Only You,,5_a
skater X j.robb - Bye (feat. Ny Odus) Draked,,5_a
skater x j.robb - Girls,,5_a
Back It Up (feat. Tadafi),,5_a
Conversations,,5_a
Olu's House,,5_a
Long Distance (feat. Jeanie),,5_a
Hindsight,,5_a
Do You,,5_a
unforgettable,,5_a
Kompany w/ Smino & Phoelix,,5_a
SWANG,,5_a
Montell2099 x 21 Savage - Hunnid On The Drop,,5_a
ctrl,,5_a
flute her,,5_a
reach,,5_a
whats your name,,5_a
arp,,5_a
Low Life Flip,,5_a
ANH & Mo Vibez - Spacin (feat. Anuka),,5_a
Into Eternity,,5_a
That Love,,5_a
One for Abe,,5_a
Body and Soul,,5_a
"Sitting here at night,gotta work tomorrow",,5_a
Esta - PressPlay,,5_a
Sinjin Hawke - Onset (KRANE & Alexander Lewis Remix),,5_a
Territory,,5_a
Over Due,,5_a
"a digital love (excerpt from internet theory, pt.1)",,5_a
drake flow.,,5_a
"internet theory, part one",,5_a
Won't Forget,,5_a
IAMNOBODI // Better Off,,5_a
Wake Up!,,5_a
see you out there,,5_a
Stages,,5_a
...bruh,,5_a
Krs. // No Love,,5_a
GLOW W/ NICK PACOLI & WEST1NE,,5_a
HEATROCK W/ MADBLISS,,5_a
OMM W/ RNDYSVGE & ALI,,5_a
FANTASIES,,5_a
Babylon ft. Denzel Curry,,5_a
Fulltime (feat. Drama B),,5_a
YODAK BELLOW,,5_a
fallinlove,,5_a
"Soulection Radio Show #322 ft. Andre Power, Kronika, Andres Uribe, Sahar Habibi & Monty Lov",,5_a
"SCAPE #002: Brazil, by Sango (guestmix)",,5_a
SOUDIERE - Servin',,5_a
Senpu - Make Me Feel,,5_a
Truancy Volume 96: Rook Milo,,5_a
want you w/ ||DILIP|| & KEV,,5_a
"ASAP Ferg x Ski Mask, the Slump God ""ILoveYourAunt""",,5_a
Soulection Radio Show #324 ft. Sonder,,5_a
Track of the Day: Nick Wisdom ft. Reva Devito “Feelin’ Alright”,,5_a
Myself,,5_a
revive w/ otxhello and yugi,,5_a
attached,,5_a
presence,,5_a
catching feelings,,5_a
wild thoughts (medasin remix),,5_a
Call Me Over,,5_a
Wylin',,5_a
All You Need,,5_a
freaky,,5_a
"no problem w/ ||DILIP||, otxhello & ny odus",,5_a
Think Twice (Prod. Scott Storch),,5_a
No Ice (prod. Smash David & Dave Sava6e),,5_a
Up To Something (prod. FrancisGotHeat),,5_a
close your eyes,,5_a
Murder w/ Jarreau Vandal & Emmavie,,5_a
girlfriend?,,5_a
DrewsThatDude Mix For JayemKayem - 9.18.17,,5_a
pistol w/ DILIP & yugi boi,,5_a
Revelation / Untitled,,5_a
IAMNOBODI & Insightful - Wassup,,5_a
Smino - Runnin (IAMNOBODI Remix),,5_a
27,,5_a
Deeper (featuring Emmavie),,5_a
TroyBoi - Amadeus,,5_a
Don't Be Judging (MJ Edition),,5_a
Smile,,5_a
Zone,,5_a
Sensei,,5_a
Grimey,,5_a
Stooki Sound x Mr.Carmack - UPPERS,,5_a
Loud (feat. Naji) [NEST HQ Premiere],,5_a
Ar,,5_a
DIVERSA - underscore - bae,,5_a
Why,,5_a
Monolith [Overture] - Sinjin Hawke,,5_a
Dawn Of Infinity - Sinjin Hawke,,5_a
